Start (ET),Visitor/Neutral,Visitor PTS,Home/Neutral,Home PTS,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,game_type,Date_Clean,Home Rest,Visitor Rest,team_i,team_j,margin_ij,rest_i,rest_j,home_i,home_j,id_i,location_i,id_j,location_j,location_game,Visitor Travel,Home Travel,travel_i,travel_j
8:00p,Milwaukee Bucks,95,Miami Heat,137,Box Score,,19600.0,FTX Arena,,Regular Season,2021-10-21,10,2,Miami Heat,Milwaukee Bucks,42,10,2,1,0,16,"[25.77481000000006, -80.19772999999998]",17,"[43.042230000000075, -87.90689999999995]","[25.77481000000006, -80.19772999999998]",2043.860142405337,0.0,0.0,2043.860142405337
10:00p,Los Angeles Clippers,113,Golden State Warriors,115,Box Score,,18064.0,Chase Center,,Regular Season,2021-10-21,2,10,Golden State Warriors,Los Angeles Clippers,2,2,10,1,0,10,"[37.777120000000025, -122.41963999999996]",13,"[34.053570000000036, -118.24544999999995]","[37.777120000000025, -122.41963999999996]",559.0934334988721,559.0934334988721,559.0934334988721,559.0934334988721
7:30p,Toronto Raptors,115,Boston Celtics,83,Box Score,,19156.0,TD Garden,,Regular Season,2021-10-22,2,2,Toronto Raptors,Boston Celtics,32,2,2,0,1,28,"[43.65352400000006, -79.38390699999997]",2,"[42.35866000000004, -71.05673999999993]","[42.35866000000004, -71.05673999999993]",691.9380863179787,306.116193343826,691.9380863179787,306.116193343826
9:00p,San Antonio Spurs,96,Denver Nuggets,102,Box Score,,19520.0,Ball Arena,,Regular Season,2021-10-22,2,2,Denver Nuggets,San Antonio Spurs,6,2,2,1,0,8,"[39.74001000000004, -104.99201999999997]",27,"[29.42458000000005, -98.49460999999997]","[39.74001000000004, -104.99201999999997]",1291.1371357984865,942.4184423227382,942.4184423227382,1291.1371357984865
7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,Box Score,,17116.0,Rocket Mortgage Fieldhouse,,Regular Season,2021-10-22,2,2,Charlotte Hornets,Cleveland Cavaliers,11,2,2,0,1,4,"[35.222860000000026, -80.83795999999995]",6,"[41.50473000000005, -81.69073999999995]","[41.50473000000005, -81.69073999999995]",702.4465525614933,1014.4060697229145,702.4465525614933,1014.4060697229145
8:00p,New Orleans Pelicans,112,Chicago Bulls,128,Box Score,,20995.0,United Center,,Regular Season,2021-10-22,2,2,Chicago Bulls,New Orleans Pelicans,16,2,2,1,0,5,"[41.884250000000065, -87.63244999999995]",19,"[29.953700000000026, -90.07774999999998]","[41.884250000000065, -87.63244999999995]",1344.598724562524,381.3979281798166,381.3979281798166,1344.598724562524
7:00p,New York Knicks,121,Orlando Magic,96,Box Score,,18846.0,Amway Center,,Regular Season,2021-10-22,2,2,New York Knicks,Orlando Magic,25,2,2,0,1,20,"[40.71455000000003, -74.00713999999994]",22,"[28.538230000000055, -81.37738999999993]","[28.538230000000055, -81.37738999999993]",1511.1497376161226,1666.4269204604486,1511.1497376161226,1666.4269204604486
8:00p,Oklahoma City Thunder,91,Houston Rockets,124,Box Score,,15674.0,Toyota Center,,Regular Season,2021-10-22,2,2,Houston Rockets,Oklahoma City Thunder,33,2,2,1,0,11,"[29.760780000000068, -95.36951999999997]",21,"[35.472030000000075, -97.52106999999995]","[29.760780000000068, -95.36951999999997]",1929.46724579575,1847.2897528215783,1847.2897528215783,1929.46724579575
10:00p,Phoenix Suns,115,Los Angeles Lakers,105,Box Score,,18997.0,Crypto.com Arena,,Regular Season,2021-10-22,3,2,Phoenix Suns,Los Angeles Lakers,10,2,3,0,1,24,"[33.44825000000003, -112.07579999999996]",14,"[34.053570000000036, -118.24544999999995]","[34.053570000000036, -118.24544999999995]",574.2769593803657,0.0,574.2769593803657,0.0
10:00p,Utah Jazz,110,Sacramento Kings,101,Box Score,,17583.0,Golden 1 Center,,Regular Season,2021-10-22,2,2,Utah Jazz,Sacramento Kings,9,2,2,0,1,29,"[40.76031000000006, -111.88821999999999]",26,"[38.579440000000034, -121.49084999999997]","[38.579440000000034, -121.49084999999997]",856.4018467926647,776.9996936478415,856.4018467926647,776.9996936478415
7:00p,Indiana Pacers,134,Washington Wizards,135,Box Score,OT,15407.0,Capital One Arena,,Regular Season,2021-10-22,2,2,Washington Wizards,Indiana Pacers,1,2,2,1,0,30,"[38.890370000000075, -77.03195999999997]",12,"[39.91980696400003, -86.28179348799995]","[38.890370000000075, -77.03195999999997]",529.3894970583164,564.8682979749605,564.8682979749605,529.3894970583164
7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,Box Score,,20367.0,Wells Fargo Center,,Regular Season,2021-10-22,2,3,Brooklyn Nets,Philadelphia 76ers,5,3,2,0,1,3,"[40.692450000000065, -73.99035999999995]",23,"[39.95222000000007, -75.16217999999998]","[39.95222000000007, -75.16217999999998]",1114.3272937577983,1751.8368159038666,1114.3272937577983,1751.8368159038666
6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,Box Score,,16846.0,Rocket Mortgage Fieldhouse,,Regular Season,2021-10-23,1,2,Cleveland Cavaliers,Atlanta Hawks,6,1,2,1,0,6,"[41.50473000000005, -81.69073999999995]",1,"[33.74831000000006, -84.39110999999997]","[41.50473000000005, -81.69073999999995]",894.5240804404657,0.0,0.0,894.5240804404657
8:00p,Detroit Pistons,82,Chicago Bulls,97,Box Score,,18888.0,United Center,,Regular Season,2021-10-23,1,3,Chicago Bulls,Detroit Pistons,15,1,3,1,0,5,"[41.884250000000065, -87.63244999999995]",9,"[42.33168000000006, -83.04799999999994]","[41.884250000000065, -87.63244999999995]",381.3979281798166,0.0,0.0,381.3979281798166
10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,Box Score,,16748.0,Crypto.com Arena,,Regular Season,2021-10-23,2,3,Memphis Grizzlies,Los Angeles Clippers,6,3,2,0,1,15,"[35.14976000000007, -90.04924999999997]",13,"[34.053570000000036, -118.24544999999995]","[34.053570000000036, -118.24544999999995]",2574.968249886414,559.0934334988721,2574.968249886414,559.0934334988721
8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,Box Score,,15343.0,Target Center,,Regular Season,2021-10-23,3,1,Minnesota Timberwolves,New Orleans Pelicans,7,3,1,1,0,18,"[46.34885576600004, -94.20079058299996]",19,"[29.953700000000026, -90.07774999999998]","[46.34885576600004, -94.20079058299996]",721.6076774673855,0.0,0.0,721.6076774673855
10:00p,Phoenix Suns,105,Portland Trail Blazers,134,Box Score,,18558.0,Moda Center,,Regular Season,2021-10-23,3,1,Portland Trail Blazers,Phoenix Suns,29,3,1,1,0,25,"[45.511790000000076, -122.67562999999996]",24,"[33.44825000000003, -112.07579999999996]","[45.511790000000076, -122.67562999999996]",1328.580375209273,0.0,0.0,1328.580375209273
7:00p,Miami Heat,91,Indiana Pacers,102,Box Score,OT,17147.0,Gainbridge Fieldhouse,,Regular Season,2021-10-23,1,2,Indiana Pacers,Miami Heat,11,1,2,1,0,12,"[39.91980696400003, -86.28179348799995]",16,"[25.77481000000006, -80.19772999999998]","[39.91980696400003, -86.28179348799995]",1671.2557925083065,802.5498520859976,802.5498520859976,1671.2557925083065
8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,Box Score,,14353.0,AT&T Center,,Regular Season,2021-10-23,1,2,Milwaukee Bucks,San Antonio Spurs,10,2,1,0,1,17,"[43.042230000000075, -87.90689999999995]",27,"[29.42458000000005, -98.49460999999997]","[29.42458000000005, -98.49460999999997]",1845.9547211434367,1291.1371357984865,1845.9547211434367,1291.1371357984865
7:30p,Dallas Mavericks,103,Toronto Raptors,95,Box Score,,19800.0,Scotiabank Arena,,Regular Season,2021-10-23,1,2,Dallas Mavericks,Toronto Raptors,8,2,1,0,1,7,"[32.77822000000003, -96.79511999999994]",28,"[43.65352400000006, -79.38390699999997]","[43.65352400000006, -79.38390699999997]",1183.4206624622175,691.9380863179787,1183.4206624622175,691.9380863179787
9:00p,Golden State Warriors,119,Sacramento Kings,107,Box Score,,13876.0,Golden 1 Center,,Regular Season,2021-10-24,2,3,Golden State Warriors,Sacramento Kings,12,3,2,0,1,10,"[37.777120000000025, -122.41963999999996]",26,"[38.579440000000034, -121.49084999999997]","[38.579440000000034, -121.49084999999997]",120.62236217060726,0.0,120.62236217060726,0.0
9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,Box Score,,18997.0,Crypto.com Arena,,Regular Season,2021-10-24,2,1,Los Angeles Lakers,Memphis Grizzlies,3,2,1,1,0,14,"[34.053570000000036, -118.24544999999995]",15,"[35.14976000000007, -90.04924999999997]","[34.053570000000036, -118.24544999999995]",0.0,0.0,0.0,0.0
4:00p,Charlotte Hornets,111,Brooklyn Nets,95,Box Score,,17732.0,Barclays Center,,Regular Season,2021-10-24,2,2,Charlotte Hornets,Brooklyn Nets,16,2,2,0,1,4,"[35.222860000000026, -80.83795999999995]",3,"[40.692450000000065, -73.99035999999995]","[40.692450000000065, -73.99035999999995]",651.3126974300664,129.00926936333508,651.3126974300664,129.00926936333508
7:00p,Orlando Magic,110,New York Knicks,104,Box Score,,16273.0,Madison Square Garden (IV),,Regular Season,2021-10-24,2,2,Orlando Magic,New York Knicks,6,2,2,0,1,22,"[28.538230000000055, -81.37738999999993]",20,"[40.71455000000003, -74.00713999999994]","[40.71455000000003, -74.00713999999994]",1511.1497376161226,1511.1497376161226,1511.1497376161226,1511.1497376161226
7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,Box Score,,14256.0,Paycom Center,,Regular Season,2021-10-24,2,2,Philadelphia 76ers,Oklahoma City Thunder,12,2,2,0,1,23,"[39.95222000000007, -75.16217999999998]",21,"[35.472030000000075, -97.52106999999995]","[35.472030000000075, -97.52106999999995]",2022.9962808248165,666.2092394581965,2022.9962808248165,666.2092394581965
7:00p,Boston Celtics,107,Houston Rockets,97,Box Score,,16069.0,Toyota Center,,Regular Season,2021-10-24,2,2,Boston Celtics,Houston Rockets,10,2,2,0,1,2,"[42.35866000000004, -71.05673999999993]",11,"[29.760780000000068, -95.36951999999997]","[29.760780000000068, -95.36951999999997]",2581.377281823918,0.0,2581.377281823918,0.0
8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,Box Score,,14435.0,Target Center,,Regular Season,2021-10-25,2,2,New Orleans Pelicans,Minnesota Timberwolves,9,2,2,0,1,19,"[29.953700000000026, -90.07774999999998]",18,"[46.34885576600004, -94.20079058299996]","[46.34885576600004, -94.20079058299996]",0.0,0.0,0.0,0.0
