Start (ET),Visitor/Neutral,Visitor PTS,Home/Neutral,Home PTS,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,game_type,Date_Clean,Home Rest,Visitor Rest,team_i,team_j,margin_ij,rest_i,rest_j,home_i,home_j,id_i,location_i,id_j,location_j,location_game,Visitor Travel,Home Travel,travel_i,travel_j
9:00p,Philadelphia 76ers,103,Denver Nuggets,89,Box Score,,14547.0,Ball Arena,,Regular Season,2021-11-18,3,2,Philadelphia 76ers,Denver Nuggets,14,2,3,0,1,23,"[39.95222000000007, -75.16217999999998]",8,"[39.74001000000004, -104.99201999999997]","[39.74001000000004, -104.99201999999997]",595.9884459147651,1066.464653011686,595.9884459147651,1066.464653011686
8:00p,San Antonio Spurs,90,Minnesota Timberwolves,115,Box Score,,13572.0,Target Center,,Regular Season,2021-11-18,1,2,Minnesota Timberwolves,San Antonio Spurs,25,1,2,1,0,18,"[46.34885576600004, -94.20079058299996]",27,"[29.42458000000005, -98.49460999999997]","[46.34885576600004, -94.20079058299996]",2441.9504242349735,0.0,0.0,2441.9504242349735
7:30p,Washington Wizards,97,Miami Heat,112,Box Score,,19600.0,FTX Arena,,Regular Season,2021-11-18,1,1,Miami Heat,Washington Wizards,15,1,1,1,0,16,"[25.77481000000006, -80.19772999999998]",30,"[38.890370000000075, -77.03195999999997]","[25.77481000000006, -80.19772999999998]",1052.356173919002,0.0,0.0,1052.356173919002
9:00p,Toronto Raptors,103,Utah Jazz,119,Box Score,,18306.0,Vivint Smart Home Arena,,Regular Season,2021-11-18,2,3,Utah Jazz,Toronto Raptors,16,2,3,1,0,29,"[40.76031000000006, -111.88821999999999]",28,"[43.65352400000006, -79.38390699999997]","[40.76031000000006, -111.88821999999999]",1021.1117131869454,0.0,0.0,1021.1117131869454
9:00p,Chicago Bulls,114,Denver Nuggets,108,Box Score,,19520.0,Ball Arena,,Regular Season,2021-11-19,1,2,Chicago Bulls,Denver Nuggets,6,2,1,0,1,5,"[41.884250000000065, -87.63244999999995]",8,"[39.74001000000004, -104.99201999999997]","[39.74001000000004, -104.99201999999997]",1578.3621127659235,0.0,1578.3621127659235,0.0
7:00p,Golden State Warriors,105,Detroit Pistons,102,Box Score,,20088.0,Little Caesars Arena,,Regular Season,2021-11-19,2,1,Golden State Warriors,Detroit Pistons,3,1,2,0,1,10,"[37.777120000000025, -122.41963999999996]",9,"[42.33168000000006, -83.04799999999994]","[42.33168000000006, -83.04799999999994]",145.13965380908286,0.0,145.13965380908286,0.0
7:30p,Los Angeles Lakers,108,Boston Celtics,130,Box Score,,19156.0,TD Garden,,Regular Season,2021-11-19,2,2,Boston Celtics,Los Angeles Lakers,22,2,2,1,0,2,"[42.35866000000004, -71.05673999999993]",14,"[34.053570000000036, -118.24544999999995]","[42.35866000000004, -71.05673999999993]",1376.7436128803108,1506.71309496229,1506.71309496229,1376.7436128803108
8:00p,Los Angeles Clippers,81,New Orleans Pelicans,94,Box Score,,15274.0,Smoothie King Center,,Regular Season,2021-11-19,2,1,New Orleans Pelicans,Los Angeles Clippers,13,2,1,1,0,19,"[29.953700000000026, -90.07774999999998]",13,"[34.053570000000036, -118.24544999999995]","[29.953700000000026, -90.07774999999998]",577.7816759825455,1076.0721074644903,1076.0721074644903,577.7816759825455
7:00p,Indiana Pacers,118,Charlotte Hornets,121,Box Score,,16787.0,Spectrum Center,,Regular Season,2021-11-19,2,2,Charlotte Hornets,Indiana Pacers,3,2,2,1,0,4,"[35.222860000000026, -80.83795999999995]",12,"[39.91980696400003, -86.28179348799995]","[35.222860000000026, -80.83795999999995]",813.2632278523344,0.0,0.0,813.2632278523344
8:00p,Oklahoma City Thunder,89,Milwaukee Bucks,96,Box Score,,17341.0,Fiserv Forum,,Regular Season,2021-11-19,2,2,Milwaukee Bucks,Oklahoma City Thunder,7,2,2,1,0,17,"[43.042230000000075, -87.90689999999995]",21,"[35.472030000000075, -97.52106999999995]","[43.042230000000075, -87.90689999999995]",1179.0450027645022,0.0,0.0,1179.0450027645022
10:00p,Toronto Raptors,108,Sacramento Kings,89,Box Score,,13159.0,Golden 1 Center,,Regular Season,2021-11-19,2,1,Toronto Raptors,Sacramento Kings,19,1,2,0,1,28,"[43.65352400000006, -79.38390699999997]",26,"[38.579440000000034, -121.49084999999997]","[38.579440000000034, -121.49084999999997]",856.4018467926647,2384.7368344970164,856.4018467926647,2384.7368344970164
10:00p,Dallas Mavericks,104,Phoenix Suns,112,Box Score,,17071.0,Phoenix Suns Arena,,Regular Season,2021-11-19,2,2,Phoenix Suns,Dallas Mavericks,8,2,2,1,0,24,"[33.44825000000003, -112.07579999999996]",7,"[32.77822000000003, -96.79511999999994]","[33.44825000000003, -112.07579999999996]",0.0,0.0,0.0,0.0
7:30p,Orlando Magic,113,Brooklyn Nets,115,Box Score,,16966.0,Barclays Center,,Regular Season,2021-11-19,2,2,Brooklyn Nets,Orlando Magic,2,2,2,1,0,3,"[40.692450000000065, -73.99035999999995]",22,"[28.538230000000055, -81.37738999999993]","[40.692450000000065, -73.99035999999995]",2.8354257149281104,0.0,0.0,2.8354257149281104
7:00p,Miami Heat,100,Washington Wizards,103,Box Score,,20476.0,Capital One Arena,,Regular Season,2021-11-20,2,2,Washington Wizards,Miami Heat,3,2,2,1,0,30,"[38.890370000000075, -77.03195999999997]",16,"[25.77481000000006, -80.19772999999998]","[38.890370000000075, -77.03195999999997]",1488.1176492727568,1488.1176492727568,1488.1176492727568,1488.1176492727568
7:30p,Oklahoma City Thunder,105,Boston Celtics,111,Box Score,,19156.0,TD Garden,,Regular Season,2021-11-20,1,1,Boston Celtics,Oklahoma City Thunder,6,1,1,1,0,2,"[42.35866000000004, -71.05673999999993]",21,"[35.472030000000075, -97.52106999999995]","[42.35866000000004, -71.05673999999993]",1376.7436128803108,0.0,0.0,1376.7436128803108
10:00p,Utah Jazz,123,Sacramento Kings,105,Box Score,,13180.0,Golden 1 Center,,Regular Season,2021-11-20,1,2,Utah Jazz,Sacramento Kings,18,2,1,0,1,29,"[40.76031000000006, -111.88821999999999]",26,"[38.579440000000034, -121.49084999999997]","[38.579440000000034, -121.49084999999997]",856.4018467926647,0.0,856.4018467926647,0.0
8:00p,Orlando Magic,108,Milwaukee Bucks,117,Box Score,,17341.0,Fiserv Forum,,Regular Season,2021-11-20,1,1,Milwaukee Bucks,Orlando Magic,9,1,1,1,0,17,"[43.042230000000075, -87.90689999999995]",22,"[28.538230000000055, -81.37738999999993]","[43.042230000000075, -87.90689999999995]",1180.1196984487544,0.0,0.0,1180.1196984487544
7:30p,Charlotte Hornets,105,Atlanta Hawks,115,Box Score,,17320.0,State Farm Arena,,Regular Season,2021-11-20,3,1,Atlanta Hawks,Charlotte Hornets,10,3,1,1,0,1,"[33.74831000000006, -84.39110999999997]",4,"[35.222860000000026, -80.83795999999995]","[33.74831000000006, -84.39110999999997]",364.5744098051654,0.0,0.0,364.5744098051654
8:00p,Memphis Grizzlies,95,Minnesota Timberwolves,138,Box Score,,17136.0,Target Center,,Regular Season,2021-11-20,2,2,Minnesota Timberwolves,Memphis Grizzlies,43,2,2,1,0,18,"[46.34885576600004, -94.20079058299996]",15,"[35.14976000000007, -90.04924999999997]","[46.34885576600004, -94.20079058299996]",1292.9615011185713,0.0,0.0,1292.9615011185713
7:00p,New Orleans Pelicans,94,Indiana Pacers,111,Box Score,,15081.0,Gainbridge Fieldhouse,,Regular Season,2021-11-20,1,1,Indiana Pacers,New Orleans Pelicans,17,1,1,1,0,12,"[39.91980696400003, -86.28179348799995]",19,"[29.953700000000026, -90.07774999999998]","[39.91980696400003, -86.28179348799995]",1160.6192675263028,708.8993110706618,708.8993110706618,1160.6192675263028
5:00p,Houston Rockets,99,New York Knicks,106,Box Score,,19812.0,Madison Square Garden (IV),,Regular Season,2021-11-20,3,3,New York Knicks,Houston Rockets,7,3,3,1,0,20,"[40.71455000000003, -74.00713999999994]",11,"[29.760780000000068, -95.36951999999997]","[40.71455000000003, -74.00713999999994]",2131.3996198202717,0.0,0.0,2131.3996198202717
10:00p,Philadelphia 76ers,111,Portland Trail Blazers,118,Box Score,,17027.0,Moda Center,,Regular Season,2021-11-20,3,2,Portland Trail Blazers,Philadelphia 76ers,7,3,2,1,0,25,"[45.511790000000076, -122.67562999999996]",23,"[39.95222000000007, -75.16217999999998]","[45.511790000000076, -122.67562999999996]",1578.3621127659235,0.0,0.0,1578.3621127659235
8:00p,Denver Nuggets,97,Phoenix Suns,126,Box Score,,16072.0,Phoenix Suns Arena,,Regular Season,2021-11-21,2,2,Phoenix Suns,Denver Nuggets,29,2,2,1,0,24,"[33.44825000000003, -112.07579999999996]",8,"[39.74001000000004, -104.99201999999997]","[33.44825000000003, -112.07579999999996]",942.4184423227382,0.0,0.0,942.4184423227382
8:00p,New York Knicks,103,Chicago Bulls,109,Box Score,,21813.0,United Center,,Regular Season,2021-11-21,2,1,Chicago Bulls,New York Knicks,6,2,1,1,0,5,"[41.884250000000065, -87.63244999999995]",20,"[40.71455000000003, -74.00713999999994]","[41.884250000000065, -87.63244999999995]",1144.4026196957925,1477.6455533964877,1477.6455533964877,1144.4026196957925
6:00p,Los Angeles Lakers,121,Detroit Pistons,116,Box Score,,15532.0,Little Caesars Arena,,Regular Season,2021-11-21,2,2,Los Angeles Lakers,Detroit Pistons,5,2,2,0,1,14,"[34.053570000000036, -118.24544999999995]",9,"[42.33168000000006, -83.04799999999994]","[42.33168000000006, -83.04799999999994]",984.6788561262498,0.0,984.6788561262498,0.0
8:30p,Toronto Raptors,104,Golden State Warriors,119,Box Score,,18064.0,Chase Center,,Regular Season,2021-11-21,2,2,Golden State Warriors,Toronto Raptors,15,2,2,1,0,10,"[37.777120000000025, -122.41963999999996]",28,"[43.65352400000006, -79.38390699999997]","[37.777120000000025, -122.41963999999996]",120.62236217060726,3358.6333100477013,3358.6333100477013,120.62236217060726
3:30p,Dallas Mavericks,91,Los Angeles Clippers,97,Box Score,,17149.0,Crypto.com Arena,,Regular Season,2021-11-21,2,2,Los Angeles Clippers,Dallas Mavericks,6,2,2,1,0,13,"[34.053570000000036, -118.24544999999995]",7,"[32.77822000000003, -96.79511999999994]","[34.053570000000036, -118.24544999999995]",574.2769593803657,2686.1611707640927,2686.1611707640927,574.2769593803657
9:00p,Memphis Grizzlies,119,Utah Jazz,118,Box Score,,18306.0,Vivint Smart Home Arena,,Regular Season,2021-11-22,2,2,Memphis Grizzlies,Utah Jazz,1,2,2,0,1,15,"[35.14976000000007, -90.04924999999997]",29,"[40.76031000000006, -111.88821999999999]","[40.76031000000006, -111.88821999999999]",1550.5135330860996,856.4018467926647,1550.5135330860996,856.4018467926647
10:00p,Philadelphia 76ers,102,Sacramento Kings,94,Box Score,,13948.0,Golden 1 Center,,Regular Season,2021-11-22,2,2,Philadelphia 76ers,Sacramento Kings,8,2,2,0,1,23,"[39.95222000000007, -75.16217999999998]",26,"[38.579440000000034, -121.49084999999997]","[38.579440000000034, -121.49084999999997]",776.9996936478415,0.0,776.9996936478415,0.0
8:00p,Orlando Magic,92,Milwaukee Bucks,123,Box Score,,17341.0,Fiserv Forum,,Regular Season,2021-11-22,2,2,Milwaukee Bucks,Orlando Magic,31,2,2,1,0,17,"[43.042230000000075, -87.90689999999995]",22,"[28.538230000000055, -81.37738999999993]","[43.042230000000075, -87.90689999999995]",0.0,0.0,0.0,0.0
8:00p,Indiana Pacers,109,Chicago Bulls,77,Box Score,,21586.0,United Center,,Regular Season,2021-11-22,1,2,Indiana Pacers,Chicago Bulls,32,2,1,0,1,12,"[39.91980696400003, -86.28179348799995]",5,"[41.884250000000065, -87.63244999999995]","[41.884250000000065, -87.63244999999995]",246.16189674268134,0.0,246.16189674268134,0.0
8:00p,Minnesota Timberwolves,110,New Orleans Pelicans,96,Box Score,,15689.0,Smoothie King Center,,Regular Season,2021-11-22,2,2,Minnesota Timberwolves,New Orleans Pelicans,14,2,2,0,1,18,"[46.34885576600004, -94.20079058299996]",19,"[29.953700000000026, -90.07774999999998]","[29.953700000000026, -90.07774999999998]",1857.6751899976725,1160.6192675263028,1857.6751899976725,1160.6192675263028
7:30p,Oklahoma City Thunder,101,Atlanta Hawks,113,Box Score,,15806.0,State Farm Arena,,Regular Season,2021-11-22,2,2,Atlanta Hawks,Oklahoma City Thunder,12,2,2,1,0,1,"[33.74831000000006, -84.39110999999997]",21,"[35.472030000000075, -97.52106999999995]","[33.74831000000006, -84.39110999999997]",1506.71309496229,0.0,0.0,1506.71309496229
8:30p,Phoenix Suns,115,San Antonio Spurs,111,Box Score,,14715.0,AT&T Center,,Regular Season,2021-11-22,4,1,Phoenix Suns,San Antonio Spurs,4,1,4,0,1,24,"[33.44825000000003, -112.07579999999996]",27,"[29.42458000000005, -98.49460999999997]","[29.42458000000005, -98.49460999999997]",1362.6562431328261,1918.4802479107177,1362.6562431328261,1918.4802479107177
7:00p,Brooklyn Nets,117,Cleveland Cavaliers,112,Box Score,,17387.0,Rocket Mortgage Fieldhouse,,Regular Season,2021-11-22,4,3,Brooklyn Nets,Cleveland Cavaliers,5,3,4,0,1,3,"[40.692450000000065, -73.99035999999995]",6,"[41.50473000000005, -81.69073999999995]","[41.50473000000005, -81.69073999999995]",651.3126974300664,0.0,651.3126974300664,0.0
7:30p,Houston Rockets,90,Boston Celtics,108,Box Score,,19156.0,TD Garden,,Regular Season,2021-11-22,2,2,Boston Celtics,Houston Rockets,18,2,2,1,0,2,"[42.35866000000004, -71.05673999999993]",11,"[29.760780000000068, -95.36951999999997]","[42.35866000000004, -71.05673999999993]",306.116193343826,0.0,0.0,306.116193343826
7:00p,Charlotte Hornets,109,Washington Wizards,103,Box Score,,16575.0,Capital One Arena,,Regular Season,2021-11-22,2,2,Charlotte Hornets,Washington Wizards,6,2,2,0,1,4,"[35.222860000000026, -80.83795999999995]",30,"[38.890370000000075, -77.03195999999997]","[38.890370000000075, -77.03195999999997]",872.158224603044,0.0,872.158224603044,0.0
10:00p,Denver Nuggets,100,Portland Trail Blazers,119,Box Score,,17052.0,Moda Center,,Regular Season,2021-11-23,3,2,Portland Trail Blazers,Denver Nuggets,19,3,2,1,0,25,"[45.511790000000076, -122.67562999999996]",8,"[39.74001000000004, -104.99201999999997]","[45.511790000000076, -122.67562999999996]",1617.6278121333462,0.0,0.0,1617.6278121333462
7:00p,Miami Heat,100,Detroit Pistons,92,Box Score,,13123.0,Little Caesars Arena,,Regular Season,2021-11-23,2,3,Miami Heat,Detroit Pistons,8,3,2,0,1,16,"[25.77481000000006, -80.19772999999998]",9,"[42.33168000000006, -83.04799999999994]","[42.33168000000006, -83.04799999999994]",635.5873263033301,0.0,635.5873263033301,0.0
7:30p,Los Angeles Lakers,100,New York Knicks,106,Box Score,,19812.0,Madison Square Garden (IV),,Regular Season,2021-11-23,2,2,New York Knicks,Los Angeles Lakers,6,2,2,1,0,20,"[40.71455000000003, -74.00713999999994]",14,"[34.053570000000036, -118.24544999999995]","[40.71455000000003, -74.00713999999994]",773.4209751746891,1144.4026196957925,1144.4026196957925,773.4209751746891
10:30p,Dallas Mavericks,112,Los Angeles Clippers,104,Box Score,OT,17067.0,Crypto.com Arena,,Regular Season,2021-11-23,2,2,Dallas Mavericks,Los Angeles Clippers,8,2,2,0,1,7,"[32.77822000000003, -96.79511999999994]",13,"[34.053570000000036, -118.24544999999995]","[34.053570000000036, -118.24544999999995]",0.0,0.0,0.0,0.0
7:30p,Brooklyn Nets,123,Boston Celtics,104,Box Score,,19156.0,TD Garden,,Regular Season,2021-11-24,2,2,Brooklyn Nets,Boston Celtics,19,2,2,0,1,3,"[40.692450000000065, -73.99035999999995]",2,"[42.35866000000004, -71.05673999999993]","[42.35866000000004, -71.05673999999993]",884.1924661066525,0.0,884.1924661066525,0.0
7:00p,Phoenix Suns,120,Cleveland Cavaliers,115,Box Score,,18055.0,Rocket Mortgage Fieldhouse,,Regular Season,2021-11-24,2,2,Phoenix Suns,Cleveland Cavaliers,5,2,2,0,1,24,"[33.44825000000003, -112.07579999999996]",6,"[41.50473000000005, -81.69073999999995]","[41.50473000000005, -81.69073999999995]",2023.1207679366848,0.0,2023.1207679366848,0.0
8:00p,Washington Wizards,102,New Orleans Pelicans,127,Box Score,,14659.0,Smoothie King Center,,Regular Season,2021-11-24,2,2,New Orleans Pelicans,Washington Wizards,25,2,2,1,0,19,"[29.953700000000026, -90.07774999999998]",30,"[38.890370000000075, -77.03195999999997]","[29.953700000000026, -90.07774999999998]",1552.5347750134338,0.0,0.0,1552.5347750134338
8:00p,Utah Jazz,110,Oklahoma City Thunder,104,Box Score,,14081.0,Paycom Center,,Regular Season,2021-11-24,2,2,Utah Jazz,Oklahoma City Thunder,6,2,2,0,1,29,"[40.76031000000006, -111.88821999999999]",21,"[35.472030000000075, -97.52106999999995]","[35.472030000000075, -97.52106999999995]",1385.352178195754,1215.860665988352,1385.352178195754,1215.860665988352
8:00p,Chicago Bulls,113,Houston Rockets,118,Box Score,,16074.0,Toyota Center,,Regular Season,2021-11-24,2,2,Houston Rockets,Chicago Bulls,5,2,2,1,0,11,"[29.760780000000068, -95.36951999999997]",5,"[41.884250000000065, -87.63244999999995]","[29.760780000000068, -95.36951999999997]",1516.2404135568972,2581.377281823918,2581.377281823918,1516.2404135568972
10:00p,Portland Trail Blazers,121,Sacramento Kings,125,Box Score,,14997.0,Golden 1 Center,,Regular Season,2021-11-24,2,1,Sacramento Kings,Portland Trail Blazers,4,2,1,1,0,26,"[38.579440000000034, -121.49084999999997]",25,"[45.511790000000076, -122.67562999999996]","[38.579440000000034, -121.49084999999997]",776.9996936478415,0.0,0.0,776.9996936478415
8:30p,Atlanta Hawks,124,San Antonio Spurs,106,Box Score,,13161.0,AT&T Center,,Regular Season,2021-11-24,2,2,Atlanta Hawks,San Antonio Spurs,18,2,2,0,1,1,"[33.74831000000006, -84.39110999999997]",27,"[29.42458000000005, -98.49460999999997]","[29.42458000000005, -98.49460999999997]",1418.2722215374722,0.0,1418.2722215374722,0.0
7:00p,Charlotte Hornets,106,Orlando Magic,99,Box Score,,16114.0,Amway Center,,Regular Season,2021-11-24,2,2,Charlotte Hornets,Orlando Magic,7,2,2,0,1,4,"[35.222860000000026, -80.83795999999995]",22,"[28.538230000000055, -81.37738999999993]","[28.538230000000055, -81.37738999999993]",1218.8252650157096,1715.51710262509,1218.8252650157096,1715.51710262509
8:00p,Toronto Raptors,126,Memphis Grizzlies,113,Box Score,,15409.0,FedEx Forum,,Regular Season,2021-11-24,2,3,Toronto Raptors,Memphis Grizzlies,13,3,2,0,1,28,"[43.65352400000006, -79.38390699999997]",15,"[35.14976000000007, -90.04924999999997]","[35.14976000000007, -90.04924999999997]",2895.0275120775295,2007.567921401783,2895.0275120775295,2007.567921401783
8:00p,Miami Heat,101,Minnesota Timberwolves,113,Box Score,,17136.0,Target Center,,Regular Season,2021-11-24,2,1,Minnesota Timberwolves,Miami Heat,12,2,1,1,0,18,"[46.34885576600004, -94.20079058299996]",16,"[25.77481000000006, -80.19772999999998]","[46.34885576600004, -94.20079058299996]",991.8385918014001,1857.6751899976725,1857.6751899976725,991.8385918014001
10:00p,Philadelphia 76ers,96,Golden State Warriors,116,Box Score,,18064.0,Chase Center,,Regular Season,2021-11-24,3,2,Golden State Warriors,Philadelphia 76ers,20,3,2,1,0,10,"[37.777120000000025, -122.41963999999996]",23,"[39.95222000000007, -75.16217999999998]","[37.777120000000025, -122.41963999999996]",120.62236217060726,0.0,0.0,120.62236217060726
8:00p,Detroit Pistons,93,Milwaukee Bucks,114,Box Score,,17341.0,Fiserv Forum,,Regular Season,2021-11-24,2,1,Milwaukee Bucks,Detroit Pistons,21,2,1,1,0,17,"[43.042230000000075, -87.90689999999995]",9,"[42.33168000000006, -83.04799999999994]","[43.042230000000075, -87.90689999999995]",404.8671614902709,0.0,0.0,404.8671614902709
7:00p,Los Angeles Lakers,124,Indiana Pacers,116,Box Score,OT,15572.0,Gainbridge Fieldhouse,,Regular Season,2021-11-24,2,1,Los Angeles Lakers,Indiana Pacers,8,1,2,0,1,14,"[34.053570000000036, -118.24544999999995]",12,"[39.91980696400003, -86.28179348799995]","[39.91980696400003, -86.28179348799995]",1043.5723091823186,246.16189674268134,1043.5723091823186,246.16189674268134
7:00p,Phoenix Suns,118,New York Knicks,97,Box Score,,19812.0,Madison Square Garden (IV),,Regular Season,2021-11-26,3,2,Phoenix Suns,New York Knicks,21,2,3,0,1,24,"[33.44825000000003, -112.07579999999996]",20,"[40.71455000000003, -74.00713999999994]","[40.71455000000003, -74.00713999999994]",649.4782341194252,0.0,649.4782341194252,0.0
3:30p,Detroit Pistons,96,Los Angeles Clippers,107,Box Score,,18139.0,Crypto.com Arena,,Regular Season,2021-11-26,3,2,Los Angeles Clippers,Detroit Pistons,11,3,2,1,0,13,"[34.053570000000036, -118.24544999999995]",9,"[42.33168000000006, -83.04799999999994]","[34.053570000000036, -118.24544999999995]",2802.5643250425146,0.0,0.0,2802.5643250425146
10:00p,Portland Trail Blazers,103,Golden State Warriors,118,Box Score,,18064.0,Chase Center,,Regular Season,2021-11-26,2,2,Golden State Warriors,Portland Trail Blazers,15,2,2,1,0,10,"[37.777120000000025, -122.41963999999996]",25,"[45.511790000000076, -122.67562999999996]","[37.777120000000025, -122.41963999999996]",120.62236217060726,0.0,0.0,120.62236217060726
8:00p,Toronto Raptors,97,Indiana Pacers,114,Box Score,,13508.0,Gainbridge Fieldhouse,,Regular Season,2021-11-26,2,2,Indiana Pacers,Toronto Raptors,17,2,2,1,0,12,"[39.91980696400003, -86.28179348799995]",28,"[43.65352400000006, -79.38390699999997]","[39.91980696400003, -86.28179348799995]",625.6946246164156,0.0,0.0,625.6946246164156
7:00p,Chicago Bulls,123,Orlando Magic,88,Box Score,,18236.0,Amway Center,,Regular Season,2021-11-26,2,2,Chicago Bulls,Orlando Magic,35,2,2,0,1,5,"[41.884250000000065, -87.63244999999995]",22,"[28.538230000000055, -81.37738999999993]","[28.538230000000055, -81.37738999999993]",1364.7404897861009,0.0,1364.7404897861009,0.0
8:30p,Boston Celtics,88,San Antonio Spurs,96,Box Score,,15360.0,AT&T Center,,Regular Season,2021-11-26,2,2,San Antonio Spurs,Boston Celtics,8,2,2,1,0,27,"[29.42458000000005, -98.49460999999997]",2,"[42.35866000000004, -71.05673999999993]","[29.42458000000005, -98.49460999999997]",2840.7531462024094,0.0,0.0,2840.7531462024094
9:00p,Milwaukee Bucks,120,Denver Nuggets,109,Box Score,,19520.0,Ball Arena,,Regular Season,2021-11-26,3,2,Milwaukee Bucks,Denver Nuggets,11,2,3,0,1,17,"[43.042230000000075, -87.90689999999995]",8,"[39.74001000000004, -104.99201999999997]","[39.74001000000004, -104.99201999999997]",1468.8972864168395,1578.3621127659235,1468.8972864168395,1578.3621127659235
7:00p,Minnesota Timberwolves,115,Charlotte Hornets,133,Box Score,,19314.0,Spectrum Center,,Regular Season,2021-11-26,2,2,Charlotte Hornets,Minnesota Timberwolves,18,2,2,1,0,4,"[35.222860000000026, -80.83795999999995]",18,"[46.34885576600004, -94.20079058299996]","[35.222860000000026, -80.83795999999995]",1667.6116431998903,745.0357149364328,745.0357149364328,1667.6116431998903
8:00p,Washington Wizards,101,Oklahoma City Thunder,99,Box Score,,14579.0,Paycom Center,,Regular Season,2021-11-26,2,2,Washington Wizards,Oklahoma City Thunder,2,2,2,0,1,30,"[38.890370000000075, -77.03195999999997]",21,"[35.472030000000075, -97.52106999999995]","[35.472030000000075, -97.52106999999995]",927.5932809598859,0.0,927.5932809598859,0.0
8:00p,Atlanta Hawks,132,Memphis Grizzlies,100,Box Score,,16622.0,FedEx Forum,,Regular Season,2021-11-26,2,2,Atlanta Hawks,Memphis Grizzlies,32,2,2,0,1,1,"[33.74831000000006, -84.39110999999997]",15,"[35.14976000000007, -90.04924999999997]","[35.14976000000007, -90.04924999999997]",1016.8787539839745,0.0,1016.8787539839745,0.0
9:00p,New Orleans Pelicans,98,Utah Jazz,97,Box Score,,18306.0,Vivint Smart Home Arena,,Regular Season,2021-11-26,2,2,New Orleans Pelicans,Utah Jazz,1,2,2,0,1,19,"[29.953700000000026, -90.07774999999998]",29,"[40.76031000000006, -111.88821999999999]","[40.76031000000006, -111.88821999999999]",2304.543038298615,1385.352178195754,2304.543038298615,1385.352178195754
10:30p,Sacramento Kings,141,Los Angeles Lakers,137,Box Score,3OT,18997.0,Crypto.com Arena,,Regular Season,2021-11-26,2,2,Sacramento Kings,Los Angeles Lakers,4,2,2,0,1,26,"[38.579440000000034, -121.49084999999997]",14,"[34.053570000000036, -118.24544999999995]","[34.053570000000036, -118.24544999999995]",581.1123084635576,2896.457834807326,581.1123084635576,2896.457834807326
7:30p,Phoenix Suns,113,Brooklyn Nets,107,Box Score,,18071.0,Barclays Center,,Regular Season,2021-11-27,3,1,Phoenix Suns,Brooklyn Nets,6,1,3,0,1,24,"[33.44825000000003, -112.07579999999996]",3,"[40.692450000000065, -73.99035999999995]","[40.692450000000065, -73.99035999999995]",2.8354257149281104,306.50932245414236,2.8354257149281104,306.50932245414236
8:00p,Orlando Magic,92,Cleveland Cavaliers,105,Box Score,,18248.0,Rocket Mortgage Fieldhouse,,Regular Season,2021-11-27,3,1,Cleveland Cavaliers,Orlando Magic,13,3,1,1,0,6,"[41.50473000000005, -81.69073999999995]",22,"[28.538230000000055, -81.37738999999993]","[41.50473000000005, -81.69073999999995]",1442.0883530923409,0.0,0.0,1442.0883530923409
9:00p,New Orleans Pelicans,105,Utah Jazz,127,Box Score,,18306.0,Vivint Smart Home Arena,,Regular Season,2021-11-27,1,1,Utah Jazz,New Orleans Pelicans,22,1,1,1,0,29,"[40.76031000000006, -111.88821999999999]",19,"[29.953700000000026, -90.07774999999998]","[40.76031000000006, -111.88821999999999]",0.0,0.0,0.0,0.0
8:00p,Miami Heat,107,Chicago Bulls,104,Box Score,,21110.0,United Center,,Regular Season,2021-11-27,1,3,Miami Heat,Chicago Bulls,3,3,1,0,1,16,"[25.77481000000006, -80.19772999999998]",5,"[41.884250000000065, -87.63244999999995]","[41.884250000000065, -87.63244999999995]",721.6076774673855,1587.9095020091315,721.6076774673855,1587.9095020091315
7:30p,New York Knicks,99,Atlanta Hawks,90,Box Score,,17287.0,State Farm Arena,,Regular Season,2021-11-27,1,1,New York Knicks,Atlanta Hawks,9,1,1,0,1,20,"[40.71455000000003, -74.00713999999994]",1,"[33.74831000000006, -84.39110999999997]","[33.74831000000006, -84.39110999999997]",1200.618875847023,541.6245908279589,1200.618875847023,541.6245908279589
8:30p,Washington Wizards,120,Dallas Mavericks,114,Box Score,,20223.0,American Airlines Center,,Regular Season,2021-11-27,4,1,Washington Wizards,Dallas Mavericks,6,1,4,0,1,30,"[38.890370000000075, -77.03195999999997]",7,"[32.77822000000003, -96.79511999999994]","[32.77822000000003, -96.79511999999994]",306.8979117466442,1992.287410461503,306.8979117466442,1992.287410461503
6:00p,Minnesota Timberwolves,121,Philadelphia 76ers,120,Box Score,2OT,21011.0,Wells Fargo Center,,Regular Season,2021-11-27,3,1,Minnesota Timberwolves,Philadelphia 76ers,1,1,3,0,1,18,"[46.34885576600004, -94.20079058299996]",23,"[39.95222000000007, -75.16217999999998]","[39.95222000000007, -75.16217999999998]",725.390823953961,4050.590455139625,725.390823953961,4050.590455139625
8:00p,Charlotte Hornets,143,Houston Rockets,146,Box Score,OT,14687.0,Toyota Center,,Regular Season,2021-11-27,3,1,Houston Rockets,Charlotte Hornets,3,3,1,1,0,11,"[29.760780000000068, -95.36951999999997]",4,"[35.222860000000026, -80.83795999999995]","[29.760780000000068, -95.36951999999997]",1490.0960059258516,0.0,0.0,1490.0960059258516
